PORT	FIRST_CELL_TYPE	FIRST_CELL_INSTANCE	STATUS
BW_MODE_I	APR_CDM	APR_CDM_0	MULTI_LOAD(2)
BW_MODE_I	CLKBUFX8AS9	C_0__IOBUF	MULTI_LOAD(2)
CSCL_I	APR_CDM	APR_CDM_3	MULTI_LOAD(2)
CSCL_I	CLKBUFX8AS9	C_3__IOBUF	MULTI_LOAD(2)
CSDA_I	APR_CDM	APR_CDM_4	MULTI_LOAD(2)
CSDA_I	CLKBUFX8AS9	C_4__IOBUF	MULTI_LOAD(2)
DPSEL_I	APR_CDM	APR_CDM_5	MULTI_LOAD(2)
DPSEL_I	CLKBUFX8AS9	C_5__IOBUF	MULTI_LOAD(2)
LITEST_I	APR_CDM	APR_CDM_6	MULTI_LOAD(2)
LITEST_I	CLKBUFX8AS9	C_6__IOBUF	MULTI_LOAD(2)
OSC_CLK_I	APR_CDM	APR_CDM_7	MULTI_LOAD(2)
OSC_CLK_I	CLKBUFX8AS9	C_7__IOBUF	MULTI_LOAD(2)
PON_OPT_I	APR_CDM	APR_CDM_2	MULTI_LOAD(2)
PON_OPT_I	CLKBUFX8AS9	C_2__IOBUF	MULTI_LOAD(2)
WAKE_I	APR_CDM	APR_CDM_1	MULTI_LOAD(2)
WAKE_I	CLKBUFX8AS9	C_1__IOBUF	MULTI_LOAD(2)
XPONRST_I	APR_CDM	APR_CDM_9	MULTI_LOAD(2)
XPONRST_I	CLKBUFX8AS9	C_9__IOBUF	MULTI_LOAD(2)
XRST_I	APR_CDM	APR_CDM_8	MULTI_LOAD(2)
XRST_I	CLKBUFX8AS9	C_8__IOBUF	MULTI_LOAD(2)
clk_lane_L0	APR_CDM	APR_CDM_10	MULTI_LOAD(2)
clk_lane_L0	CLKBUFX8AS9	C_10__IOBUF	MULTI_LOAD(2)
clk_lane_L1	APR_CDM	APR_CDM_11	MULTI_LOAD(2)
clk_lane_L1	CLKBUFX8AS9	C_11__IOBUF	MULTI_LOAD(2)
clk_lane_od_L0	APR_CDM	APR_CDM_12	MULTI_LOAD(2)
clk_lane_od_L0	CLKBUFX8AS9	C_12__IOBUF	MULTI_LOAD(2)
clk_lane_od_L1	APR_CDM	APR_CDM_13	MULTI_LOAD(2)
clk_lane_od_L1	CLKBUFX8AS9	C_13__IOBUF	MULTI_LOAD(2)
cr_done_lane_L0	APR_CDM	APR_CDM_14	MULTI_LOAD(2)
cr_done_lane_L0	CLKBUFX8AS9	C_14__IOBUF	MULTI_LOAD(2)
cr_done_lane_L1	APR_CDM	APR_CDM_15	MULTI_LOAD(2)
cr_done_lane_L1	CLKBUFX8AS9	C_15__IOBUF	MULTI_LOAD(2)
dout_lane_L0[0]	APR_CDM	APR_CDM_33	MULTI_LOAD(2)
dout_lane_L0[0]	CLKBUFX8AS9	C_33__IOBUF	MULTI_LOAD(2)
dout_lane_L0[10]	APR_CDM	APR_CDM_23	MULTI_LOAD(2)
dout_lane_L0[10]	CLKBUFX8AS9	C_23__IOBUF	MULTI_LOAD(2)
dout_lane_L0[11]	APR_CDM	APR_CDM_22	MULTI_LOAD(2)
dout_lane_L0[11]	CLKBUFX8AS9	C_22__IOBUF	MULTI_LOAD(2)
dout_lane_L0[12]	APR_CDM	APR_CDM_21	MULTI_LOAD(2)
dout_lane_L0[12]	CLKBUFX8AS9	C_21__IOBUF	MULTI_LOAD(2)
dout_lane_L0[13]	APR_CDM	APR_CDM_20	MULTI_LOAD(2)
dout_lane_L0[13]	CLKBUFX8AS9	C_20__IOBUF	MULTI_LOAD(2)
dout_lane_L0[14]	APR_CDM	APR_CDM_19	MULTI_LOAD(2)
dout_lane_L0[14]	CLKBUFX8AS9	C_19__IOBUF	MULTI_LOAD(2)
