PORT	LAST_CELL_TYPE	LAST_CELL_INSTANCE	STATUS
BGR_SEL[0]	CLKBUFX8AS9	C_57__IOBUF	OK
BGR_SEL[1]	CLKBUFX8AS9	C_56__IOBUF	OK
BGR_SEL[2]	CLKBUFX8AS9	C_55__IOBUF	OK
BGR_SEL[3]	CLKBUFX8AS9	C_54__IOBUF	OK
BGR_TRIM[0]	CLKBUFX8AS9	C_60__IOBUF	OK
BGR_TRIM[1]	CLKBUFX8AS9	C_59__IOBUF	OK
BGR_TRIM[2]	CLKBUFX8AS9	C_58__IOBUF	OK
CHSEL_L[0]	CLKBUFX8AS9	C_63__IOBUF	OK
CHSEL_L[1]	CLKBUFX8AS9	C_62__IOBUF	OK
CHSEL_L[2]	CLKBUFX8AS9	C_61__IOBUF	OK
CHSEL_R[0]	CLKBUFX8AS9	C_66__IOBUF	OK
CHSEL_R[1]	CLKBUFX8AS9	C_65__IOBUF	OK
CHSEL_R[2]	CLKBUFX8AS9	C_64__IOBUF	OK
CLKA_L	CLKBUFX8AS9	C_67__IOBUF	OK
CLKA_R	CLKBUFX8AS9	C_68__IOBUF	OK
CLKB_L	CLKBUFX8AS9	C_69__IOBUF	OK
CLKB_R	CLKBUFX8AS9	C_70__IOBUF	OK
CS_AGND	CLKBUFX8AS9	C_87__IOBUF	OK
CS_HVDDA	CLKBUFX8AS9	C_88__IOBUF	OK
DBC	CLKBUFX8AS9	C_374__IOBUF	OK
DBCO_DRV[0]	CLKBUFX8AS9	C_376__IOBUF	OK
DBCO_DRV[1]	CLKBUFX8AS9	C_375__IOBUF	OK
DBL0[0]	CLKBUFX8AS9	C_267__IOBUF	OK
DBL0[1]	CLKBUFX8AS9	C_266__IOBUF	OK
DBL0[2]	CLKBUFX8AS9	C_265__IOBUF	OK
DBL0[3]	CLKBUFX8AS9	C_264__IOBUF	OK
DBL0[4]	CLKBUFX8AS9	C_263__IOBUF	OK
DBL0[5]	CLKBUFX8AS9	C_262__IOBUF	OK
DBL0[6]	CLKBUFX8AS9	C_261__IOBUF	OK
DBL0[7]	CLKBUFX8AS9	C_260__IOBUF	OK
DBL1[0]	CLKBUFX8AS9	C_275__IOBUF	OK
DBL1[1]	CLKBUFX8AS9	C_274__IOBUF	OK
DBL1[2]	CLKBUFX8AS9	C_273__IOBUF	OK
DBL1[3]	CLKBUFX8AS9	C_272__IOBUF	OK
DBL1[4]	CLKBUFX8AS9	C_271__IOBUF	OK
DBL1[5]	CLKBUFX8AS9	C_270__IOBUF	OK
DBL1[6]	CLKBUFX8AS9	C_269__IOBUF	OK
DBL1[7]	CLKBUFX8AS9	C_268__IOBUF	OK
