report file,violation number,biggest violation
CLK_L0_DTCTL_OD_DIV1P5,0,0.174464
CLK_L1_ADJ_DTCTL_OD_DIV1P5,0,0
CLK_L1_DTCTL_OD_DIV1P5,0,0.084488
I2C_CLK,0,0.029450
LS_CLK,0,0.010485
OSC_CLK_IN,0,0.009459
POWERON_CLK,0,0
RX0_CLK_DIV1P5_1P,0,0
RX0_CLK_DIV1P5,0,0.033164
RX0_CLK,0,0
RX0_OD_CLK_DIV2,0,0.068282
RX0_OD_CLK,0,0.033012
RX1_CLK_DIV1P5_ADJ,0,0
RX1_CLK_DIV1P5,0,0.084488
RX1_CLK,0,0
RX1_OD_CLK_DIV2,0,0.068282
RX1_OD_CLK,0,0
STB_CLK,0,0.015624
VS_CLK,0,0.016256
WCLK1_A_DCLK,0,0
WCLK1_A_I2C,0,0
async,0,0.133844
gating,0,0.092463
hold.rpt,0,0.009459
