report file,violation number,biggest violation
CLK_L0_DTCTL_OD_DIV1P5,0,1.406652
CLK_L1_ADJ_DTCTL_OD_DIV1P5,0,0
CLK_L1_DTCTL_OD_DIV1P5,0,1.420462
I2C_CLK,0,244.996277
LS_CLK,0,97.546478
OSC_CLK_IN,0,7.661842
POWERON_CLK,0,0
RX0_CLK_DIV1P5_1P,0,0
RX0_CLK_DIV1P5,0,3.375470
RX0_CLK,0,4.125391
RX0_OD_CLK_DIV2,0,1.040128
RX0_OD_CLK,0,0.978412
RX1_CLK_DIV1P5_ADJ,0,0
RX1_CLK_DIV1P5,0,3.692791
RX1_CLK,0,0
RX1_OD_CLK_DIV2,0,0.157616
RX1_OD_CLK,0,2.867192
STB_CLK,0,4.666559
VS_CLK,0,97.528847
WCLK1_A_DCLK,0,12.367012
WCLK1_A_I2C,0,248.462967
async,0,0
gating,0,0
setup.rpt,0,0.157616
