report file,violation number,biggest violation
CLK_L0_DTCTL_OD_DIV1P5,0,0.137974
CLK_L1_ADJ_DTCTL_OD_DIV1P5,0,0
CLK_L1_DTCTL_OD_DIV1P5,0,0.081765
I2C_CLK,0,0.029886
LS_CLK,0,0.011718
OSC_CLK_IN,0,0.008210
POWERON_CLK,0,0
RX0_CLK_DIV1P5_1P,0,0
RX0_CLK_DIV1P5,0,0.029802
RX0_CLK,0,0
RX0_OD_CLK_DIV2,0,0.069163
RX0_OD_CLK,0,0.020825
RX1_CLK_DIV1P5_ADJ,0,0
RX1_CLK_DIV1P5,0,0.081764
RX1_CLK,0,0
RX1_OD_CLK_DIV2,0,0.069163
RX1_OD_CLK,0,0
STB_CLK,0,0.017470
VS_CLK,0,0.018656
WCLK1_A_DCLK,0,0
WCLK1_A_I2C,0,0
async,0,0.131820
gating,0,0.084289
hold.rpt,0,0.008210
