report file,violation number,biggest violation
CLK_L0_DTCTL_OD_DIV1P5,0,1.635311
CLK_L1_ADJ_DTCTL_OD_DIV1P5,0,0
CLK_L1_DTCTL_OD_DIV1P5,0,1.562460
I2C_CLK,0,244.788757
LS_CLK,0,97.534904
OSC_CLK_IN,0,8.104542
POWERON_CLK,0,0
RX0_CLK_DIV1P5_1P,0,0
RX0_CLK_DIV1P5,0,3.543672
RX0_CLK,0,4.543875
RX0_OD_CLK_DIV2,0,0.776957
RX0_OD_CLK,0,0.999451
RX1_CLK_DIV1P5_ADJ,0,0
RX1_CLK_DIV1P5,0,3.951782
RX1_CLK,0,0
RX1_OD_CLK_DIV2,0,0.076567
RX1_OD_CLK,0,2.867232
STB_CLK,0,4.661125
VS_CLK,0,97.515381
WCLK1_A_DCLK,0,12.385640
WCLK1_A_I2C,0,248.645264
async,0,0
gating,0,0
setup.rpt,0,0.076567
