report file,violation number,biggest violation
CLK_L0_DTCTL_OD_DIV1P5,0,0.123008
CLK_L1_ADJ_DTCTL_OD_DIV1P5,0,0
CLK_L1_DTCTL_OD_DIV1P5,0,0.081975
I2C_CLK,0,0.032159
LS_CLK,0,0.010096
OSC_CLK_IN,0,0.005468
POWERON_CLK,0,0
RX0_CLK_DIV1P5_1P,0,0
RX0_CLK_DIV1P5,0,0.028698
RX0_CLK,0,0
RX0_OD_CLK_DIV2,0,0.069913
RX0_OD_CLK,0,0.027076
RX1_CLK_DIV1P5_ADJ,0,0
RX1_CLK_DIV1P5,0,0.081975
RX1_CLK,0,0
RX1_OD_CLK_DIV2,0,0.069913
RX1_OD_CLK,0,0
STB_CLK,0,0.013679
VS_CLK,0,0.017092
WCLK1_A_DCLK,0,0
WCLK1_A_I2C,0,0
async,0,0.119816
gating,0,0.078350
hold.rpt,0,0.005468
