report file,violation number,biggest violation
CLK_L0_DTCTL_OD_DIV1P5,0,1.475647
CLK_L1_ADJ_DTCTL_OD_DIV1P5,0,0
CLK_L1_DTCTL_OD_DIV1P5,0,1.440513
I2C_CLK,0,244.884613
LS_CLK,0,97.541656
OSC_CLK_IN,0,7.998724
POWERON_CLK,0,0
RX0_CLK_DIV1P5_1P,0,0
RX0_CLK_DIV1P5,0,3.423368
RX0_CLK,0,4.390312
RX0_OD_CLK_DIV2,0,0.868701
RX0_OD_CLK,0,0.989038
RX1_CLK_DIV1P5_ADJ,0,0
RX1_CLK_DIV1P5,0,3.795793
RX1_CLK,0,0
RX1_OD_CLK_DIV2,0,0.115583
RX1_OD_CLK,0,2.867140
STB_CLK,0,4.662576
VS_CLK,0,97.521286
WCLK1_A_DCLK,0,12.383476
WCLK1_A_I2C,0,248.562622
async,0,0
gating,0,0
setup.rpt,0,0.115583
