report file,violation number,biggest violation
CLK_L0_DTCTL_OD_DIV1P5,0,0
CLK_L1_ADJ_DTCTL_OD_DIV1P5,0,0
CLK_L1_DTCTL_OD_DIV1P5,0,0.099550
I2C_CLK,0,0.076664
LS_CLK,0,0.052868
OSC_CLK_IN,0,0.038472
POWERON_CLK,0,0
RX0_CLK_DIV1P5_1P,0,0
RX0_CLK_DIV1P5,0,0.036915
RX0_CLK,0,0
RX0_OD_CLK_DIV2,0,0.079034
RX0_OD_CLK,0,0.076150
RX1_CLK_DIV1P5_ADJ,0,0
RX1_CLK_DIV1P5,0,0.099550
RX1_CLK,0,0
RX1_OD_CLK_DIV2,0,0.079034
RX1_OD_CLK,0,0
STB_CLK,0,0.046713
VS_CLK,0,0.046956
WCLK1_A_DCLK,0,0
WCLK1_A_I2C,0,0
async,0,0.208822
gating,0,0.159398
hold.rpt,0,0.036915
