report file,violation number,biggest violation
CLK_L0_DTCTL_OD_DIV1P5,0,1.013559
CLK_L1_ADJ_DTCTL_OD_DIV1P5,0,0
CLK_L1_DTCTL_OD_DIV1P5,0,1.049336
I2C_CLK,0,244.212051
LS_CLK,0,97.402992
OSC_CLK_IN,0,7.148800
POWERON_CLK,0,0
RX0_CLK_DIV1P5_1P,0,0
RX0_CLK_DIV1P5,0,2.821777
RX0_CLK,0,3.088823
RX0_OD_CLK_DIV2,0,1.415975
RX0_OD_CLK,0,0.956752
RX1_CLK_DIV1P5_ADJ,0,0
RX1_CLK_DIV1P5,0,3.253743
RX1_CLK,0,0
RX1_OD_CLK_DIV2,0,0.227515
RX1_OD_CLK,0,2.856846
STB_CLK,0,4.554146
VS_CLK,0,97.401001
WCLK1_A_DCLK,0,11.812580
WCLK1_A_I2C,0,247.945984
async,0,0
gating,0,0
setup.rpt,0,0.227515
