,,wc_cworst_125,,wc_cbest_125,,wc_typical_125,,lt_cworst_m40,,lt_cbest_m40,,lt_typical_m40,,ml_cbest_125,,tt_cworst_25,,tt_cbest_25,,tt_typical_25
report file,violation number,biggest violation,violation number,biggest violation,violation number,biggest violation,violation number,biggest violation,violation number,biggest violation,violation number,biggest violation,violation number,biggest violation,violation number,biggest violation,violation number,biggest violation,violation number,biggest violation
CLK_L0_DTCTL_OD_DIV1P5,0,0,0,0,0,0,0,0.137974,0,0.174464,0,0.123008,0,0,0,0,0,0,0,0
CLK_L1_ADJ_DTCTL_OD_DIV1P5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CLK_L1_DTCTL_OD_DIV1P5,0,0,0,0,0,0,0,0.081765,0,0.084488,0,0.081975,0,0.099550,0,0.145488,0,0.148259,0,0.146370
I2C_CLK,0,0,0,0,0,0,0,0.029886,0,0.029450,0,0.032159,0,0.076664,0,0.124837,0,0.123294,0,0.122751
LS_CLK,0,0,0,0,0,0,0,0.011718,0,0.010485,0,0.010096,0,0.052868,0,0.109922,0,0.107988,0,0.108836
OSC_CLK_IN,0,0,0,0,0,0,0,0.008210,0,0.009459,0,0.005468,0,0.038472,0,0.094227,0,0.095188,0,0.094550
POWERON_CLK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RX0_CLK_DIV1P5_1P,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RX0_CLK_DIV1P5,0,0,0,0,0,0,0,0.029802,0,0.033164,0,0.028698,0,0.036915,0,0.082267,0,0.087023,0,0.082262
RX0_CLK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RX0_OD_CLK_DIV2,0,0,0,0,0,0,0,0.069163,0,0.068282,0,0.069913,0,0.079034,0,0.127164,0,0.126409,0,0.126879
RX0_OD_CLK,0,0,0,0,0,0,0,0.020825,0,0.033012,0,0.027076,0,0.076150,0,0.122647,0,0.131759,0,0.133843
RX1_CLK_DIV1P5_ADJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RX1_CLK_DIV1P5,0,0,0,0,0,0,0,0.081764,0,0.084488,0,0.081975,0,0.099550,0,0.145488,0,0.148259,0,0.146370
RX1_CLK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RX1_OD_CLK_DIV2,0,0,0,0,0,0,0,0.069163,0,0.068282,0,0.069913,0,0.079034,0,0.127164,0,0.126409,0,0.126878
RX1_OD_CLK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
STB_CLK,0,0,0,0,0,0,0,0.017470,0,0.015624,0,0.013679,0,0.046713,0,0.119035,0,0.115195,0,0.116650
VS_CLK,0,0,0,0,0,0,0,0.018656,0,0.016256,0,0.017092,0,0.046956,0,0.117192,0,0.113711,0,0.115163
WCLK1_A_DCLK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WCLK1_A_I2C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
async,0,0,0,0,0,0,0,0.131820,0,0.133844,0,0.119816,0,0.208822,0,0.255016,0,0.251648,0,0.247271
gating,0,0,0,0,0,0,0,0.084289,0,0.092463,0,0.078350,0,0.159398,0,0.201763,0,0.208172,0,0.201297
hold.rpt,0,0.219306,0,0.228419,0,0.220919,0,0.008210,0,0.009459,0,0.005468,0,0.036915,0,0.082267,0,0.087023,0,0.082262
