report_files,wc_cworst_125,wc_cbest_125,wc_typical_125,lt_cworst_m40,lt_cbest_m40,lt_typical_m40,ml_cbest_125,tt_cworst_25,tt_cbest_25,tt_typical_25
sd_l_1p_clk_a_max,4.514510,4.472995,4.479735,1.651743,1.647627,1.721926,2.104526,2.407311,2.393489,2.388759
sd_l_1p_clk_a_min,3.894563,3.898119,3.870635,1.454727,1.462976,1.528972,1.881228,2.117080,2.143815,2.115601
sd_l_1p_a_max,6.101325,6.091087,6.064208,2.161074,2.214247,2.226528,2.867852,3.191442,3.220776,3.178618
sd_l_1p_a_min,4.863974,5.042684,4.912886,1.848721,1.95244,1.971166,2.50311,2.673421,2.801392,2.727686
sd_l_2p_l0_clk_a_max,,,,,,,,,,
sd_l_2p_l0_clk_a_min,,,,,,,,,,
sd_l_2p_l0_a_max,,,,,,,,,,
sd_l_2p_l0_a_min,,,,,,,,,,
sd_l_2p_l1_clk_a_max,,,,,,,,,,
sd_l_2p_l1_clk_a_min,,,,,,,,,,
sd_l_2p_l1_a_max,,,,,,,,,,
sd_l_2p_l1_a_min,,,,,,,,,,
sd_r_1p_clk_a_max,5.667236,5.616708,5.626363,2.020266,2.013967,2.107378,2.648857,2.969756,2.952912,2.949040
sd_r_1p_clk_a_min,5.052448,5.052488,5.026742,1.804368,1.810928,1.895615,2.407406,2.664369,2.689031,2.661984
sd_r_1p_a_max,8.055982,8.106762,8.03227,2.775269,2.907675,2.863074,3.790466,4.134375,4.242243,4.145918
sd_r_1p_a_min,6.671776,6.723289,6.658615,2.431336,2.569332,2.521776,3.354563,3.55118,3.667122,3.565282
sd_r_2p_l0_clk_a_max,,,,,,,,,,
sd_r_2p_l0_clk_a_min,,,,,,,,,,
sd_r_2p_l0_a_max,,,,,,,,,,
sd_r_2p_l0_a_min,,,,,,,,,,
sd_r_2p_l1_clk_a_max,,,,,,,,,,
sd_r_2p_l1_clk_a_min,,,,,,,,,,
sd_r_2p_l1_a_max,,,,,,,,,,
sd_r_2p_l1_a_min,,,,,,,,,,

sd_l_1p_clk_b_max,4.550269,4.507264,4.514064,1.661898,1.657838,1.733034,2.118224,2.425332,2.411353,2.406785
