,,wc_cworst_125,,wc_cbest_125,,wc_typical_125,,lt_cworst_m40,,lt_cbest_m40,,lt_typical_m40,,ml_cbest_125,,tt_cworst_25,,tt_cbest_25,,tt_typical_25
report file,violation number,biggest violation,violation number,biggest violation,violation number,biggest violation,violation number,biggest violation,violation number,biggest violation,violation number,biggest violation,violation number,biggest violation,violation number,biggest violation,violation number,biggest violation,violation number,biggest violation
CLK_L0_DTCTL_OD_DIV1P5,0,0.374380,0,0.058841,0,0.277962,0,1.635311,0,1.406652,0,1.475647,0,1.013559,0,1.314915,0,1.050893,0,1.212160
CLK_L1_ADJ_DTCTL_OD_DIV1P5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CLK_L1_DTCTL_OD_DIV1P5,0,0.158202,0,0.097812,0,0.151709,0,1.562460,0,1.420462,0,1.440513,0,1.049336,0,1.217620,0,1.066165,0,1.162557
I2C_CLK,0,240.296066,0,240.702286,0,240.484512,0,244.788757,0,244.996277,0,244.884613,0,244.212051,0,243.695084,0,243.957703,0,243.814224
LS_CLK,0,96.666824,0,96.694885,0,96.683632,0,97.534904,0,97.546478,0,97.541656,0,97.402992,0,97.317650,0,97.333771,0,97.328072
OSC_CLK_IN,0,6.473801,0,6.299752,0,6.530822,0,8.104542,0,7.661842,0,7.998724,0,7.148800,0,7.683464,0,7.282191,0,7.648023
POWERON_CLK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RX0_CLK_DIV1P5_1P,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RX0_CLK_DIV1P5,0,1.429812,0,1.232241,0,1.358366,0,3.543672,0,3.375470,0,3.423368,0,2.821777,0,2.985835,0,2.810191,0,2.910392
RX0_CLK,0,0.398984,0,0.138959,0,0.350628,0,4.543875,0,4.125391,0,4.390312,0,3.088823,0,3.415048,0,3.043118,0,3.337865
RX0_OD_CLK_DIV2,0,0.804953,0,0.735003,0,0.806367,0,0.776957,0,1.040128,0,0.868701,0,1.415975,0,1.103831,0,1.399569,0,1.208190
RX0_OD_CLK,0,0.222898,0,0.176198,0,0.220477,0,0.999451,0,0.978412,0,0.989038,0,0.956752,0,1.008377,0,0.973146,0,0.995596
RX1_CLK_DIV1P5_ADJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RX1_CLK_DIV1P5,0,2.572981,0,2.377372,0,2.534665,0,3.951782,0,3.692791,0,3.795793,0,3.253743,0,3.618622,0,3.334105,0,3.507311
RX1_CLK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RX1_OD_CLK_DIV2,0,0.061305,0,0.219241,0,0.137353,0,0.076567,0,0.157616,0,0.115583,0,0.227515,0,0.095746,0,0.197951,0,0.144998
RX1_OD_CLK,0,2.852169,0,2.851805,0,2.851882,0,2.867232,0,2.867192,0,2.867140,0,2.856846,0,2.866758,0,2.866631,0,2.866609
STB_CLK,0,3.958722,0,3.973158,0,3.970209,0,4.661125,0,4.666559,0,4.662576,0,4.554146,0,4.484426,0,4.492635,0,4.490686
VS_CLK,0,96.690704,0,96.722809,0,96.708687,0,97.515381,0,97.528847,0,97.521286,0,97.401001,0,97.303688,0,97.322807,0,97.314079
WCLK1_A_DCLK,0,9.483404,0,9.665233,0,9.628297,0,12.385640,0,12.367012,0,12.383476,0,11.812580,0,11.601663,0,11.652720,0,11.660713
WCLK1_A_I2C,0,246.406418,0,246.267380,0,246.378174,0,248.645264,0,248.462967,0,248.562622,0,247.945984,0,248.053604,0,247.887726,0,248.003250
async,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gating,0,0.128033,0,0.136340,0,0.140765,0,0,0,0,0,0,0,0,0,0,0,0,0,0
setup.rpt,0,0.061305,0,0.058841,0,0.137353,0,0.076567,0,0.157616,0,0.115583,0,0.227515,0,0.095746,0,0.197951,0,0.144998
