report file,violation number,biggest violation
CLK_L0_DTCTL_OD_DIV1P5,0,0
CLK_L1_ADJ_DTCTL_OD_DIV1P5,0,0
CLK_L1_DTCTL_OD_DIV1P5,0,0.148259
I2C_CLK,0,0.123294
LS_CLK,0,0.107988
OSC_CLK_IN,0,0.095188
POWERON_CLK,0,0
RX0_CLK_DIV1P5_1P,0,0
RX0_CLK_DIV1P5,0,0.087023
RX0_CLK,0,0
RX0_OD_CLK_DIV2,0,0.126409
RX0_OD_CLK,0,0.131759
RX1_CLK_DIV1P5_ADJ,0,0
RX1_CLK_DIV1P5,0,0.148259
RX1_CLK,0,0
RX1_OD_CLK_DIV2,0,0.126409
RX1_OD_CLK,0,0
STB_CLK,0,0.115195
VS_CLK,0,0.113711
WCLK1_A_DCLK,0,0
WCLK1_A_I2C,0,0
async,0,0.251648
gating,0,0.208172
hold.rpt,0,0.087023
