report file,violation number,biggest violation
CLK_L0_DTCTL_OD_DIV1P5,0,1.050893
CLK_L1_ADJ_DTCTL_OD_DIV1P5,0,0
CLK_L1_DTCTL_OD_DIV1P5,0,1.066165
I2C_CLK,0,243.957703
LS_CLK,0,97.333771
OSC_CLK_IN,0,7.282191
POWERON_CLK,0,0
RX0_CLK_DIV1P5_1P,0,0
RX0_CLK_DIV1P5,0,2.810191
RX0_CLK,0,3.043118
RX0_OD_CLK_DIV2,0,1.399569
RX0_OD_CLK,0,0.973146
RX1_CLK_DIV1P5_ADJ,0,0
RX1_CLK_DIV1P5,0,3.334105
RX1_CLK,0,0
RX1_OD_CLK_DIV2,0,0.197951
RX1_OD_CLK,0,2.866631
STB_CLK,0,4.492635
VS_CLK,0,97.322807
WCLK1_A_DCLK,0,11.652720
WCLK1_A_I2C,0,247.887726
async,0,0
gating,0,0
setup.rpt,0,0.197951
