report file,violation number,biggest violation
CLK_L0_DTCTL_OD_DIV1P5,0,0
CLK_L1_ADJ_DTCTL_OD_DIV1P5,0,0
CLK_L1_DTCTL_OD_DIV1P5,0,0.145488
I2C_CLK,0,0.124837
LS_CLK,0,0.109922
OSC_CLK_IN,0,0.094227
POWERON_CLK,0,0
RX0_CLK_DIV1P5_1P,0,0
RX0_CLK_DIV1P5,0,0.082267
RX0_CLK,0,0
RX0_OD_CLK_DIV2,0,0.127164
RX0_OD_CLK,0,0.122647
RX1_CLK_DIV1P5_ADJ,0,0
RX1_CLK_DIV1P5,0,0.145488
RX1_CLK,0,0
RX1_OD_CLK_DIV2,0,0.127164
RX1_OD_CLK,0,0
STB_CLK,0,0.119035
VS_CLK,0,0.117192
WCLK1_A_DCLK,0,0
WCLK1_A_I2C,0,0
async,0,0.255016
gating,0,0.201763
hold.rpt,0,0.082267
