report file,violation number,biggest violation
CLK_L0_DTCTL_OD_DIV1P5,0,1.314915
CLK_L1_ADJ_DTCTL_OD_DIV1P5,0,0
CLK_L1_DTCTL_OD_DIV1P5,0,1.217620
I2C_CLK,0,243.695084
LS_CLK,0,97.317650
OSC_CLK_IN,0,7.683464
POWERON_CLK,0,0
RX0_CLK_DIV1P5_1P,0,0
RX0_CLK_DIV1P5,0,2.985835
RX0_CLK,0,3.415048
RX0_OD_CLK_DIV2,0,1.103831
RX0_OD_CLK,0,1.008377
RX1_CLK_DIV1P5_ADJ,0,0
RX1_CLK_DIV1P5,0,3.618622
RX1_CLK,0,0
RX1_OD_CLK_DIV2,0,0.095746
RX1_OD_CLK,0,2.866758
STB_CLK,0,4.484426
VS_CLK,0,97.303688
WCLK1_A_DCLK,0,11.601663
WCLK1_A_I2C,0,248.053604
async,0,0
gating,0,0
setup.rpt,0,0.095746
