report file,violation number,biggest violation
CLK_L0_DTCTL_OD_DIV1P5,0,0
CLK_L1_ADJ_DTCTL_OD_DIV1P5,0,0
CLK_L1_DTCTL_OD_DIV1P5,0,0.146370
I2C_CLK,0,0.122751
LS_CLK,0,0.108836
OSC_CLK_IN,0,0.094550
POWERON_CLK,0,0
RX0_CLK_DIV1P5_1P,0,0
RX0_CLK_DIV1P5,0,0.082262
RX0_CLK,0,0
RX0_OD_CLK_DIV2,0,0.126879
RX0_OD_CLK,0,0.133843
RX1_CLK_DIV1P5_ADJ,0,0
RX1_CLK_DIV1P5,0,0.146370
RX1_CLK,0,0
RX1_OD_CLK_DIV2,0,0.126878
RX1_OD_CLK,0,0
STB_CLK,0,0.116650
VS_CLK,0,0.115163
WCLK1_A_DCLK,0,0
WCLK1_A_I2C,0,0
async,0,0.247271
gating,0,0.201297
hold.rpt,0,0.082262
