report file,violation number,biggest violation
CLK_L0_DTCTL_OD_DIV1P5,0,1.212160
CLK_L1_ADJ_DTCTL_OD_DIV1P5,0,0
CLK_L1_DTCTL_OD_DIV1P5,0,1.162557
I2C_CLK,0,243.814224
LS_CLK,0,97.328072
OSC_CLK_IN,0,7.648023
POWERON_CLK,0,0
RX0_CLK_DIV1P5_1P,0,0
RX0_CLK_DIV1P5,0,2.910392
RX0_CLK,0,3.337865
RX0_OD_CLK_DIV2,0,1.208190
RX0_OD_CLK,0,0.995596
RX1_CLK_DIV1P5_ADJ,0,0
RX1_CLK_DIV1P5,0,3.507311
RX1_CLK,0,0
RX1_OD_CLK_DIV2,0,0.144998
RX1_OD_CLK,0,2.866609
STB_CLK,0,4.490686
VS_CLK,0,97.314079
WCLK1_A_DCLK,0,11.660713
WCLK1_A_I2C,0,248.003250
async,0,0
gating,0,0
setup.rpt,0,0.144998
