report file,violation number,biggest violation
CLK_L0_DTCTL_OD_DIV1P5,0,0.058841
CLK_L1_ADJ_DTCTL_OD_DIV1P5,0,0
CLK_L1_DTCTL_OD_DIV1P5,0,0.097812
I2C_CLK,0,240.702286
LS_CLK,0,96.694885
OSC_CLK_IN,0,6.299752
POWERON_CLK,0,0
RX0_CLK_DIV1P5_1P,0,0
RX0_CLK_DIV1P5,0,1.232241
RX0_CLK,0,0.138959
RX0_OD_CLK_DIV2,0,0.735003
RX0_OD_CLK,0,0.176198
RX1_CLK_DIV1P5_ADJ,0,0
RX1_CLK_DIV1P5,0,2.377372
RX1_CLK,0,0
RX1_OD_CLK_DIV2,0,0.219241
RX1_OD_CLK,0,2.851805
STB_CLK,0,3.973158
VS_CLK,0,96.722809
WCLK1_A_DCLK,0,9.665233
WCLK1_A_I2C,0,246.267380
async,0,0
gating,0,0.136340
setup.rpt,0,0.058841
