report file,violation number,biggest violation
CLK_L0_DTCTL_OD_DIV1P5,0,0.374380
CLK_L1_ADJ_DTCTL_OD_DIV1P5,0,0
CLK_L1_DTCTL_OD_DIV1P5,0,0.158202
I2C_CLK,0,240.296066
LS_CLK,0,96.666824
OSC_CLK_IN,0,6.473801
POWERON_CLK,0,0
RX0_CLK_DIV1P5_1P,0,0
RX0_CLK_DIV1P5,0,1.429812
RX0_CLK,0,0.398984
RX0_OD_CLK_DIV2,0,0.804953
RX0_OD_CLK,0,0.222898
RX1_CLK_DIV1P5_ADJ,0,0
RX1_CLK_DIV1P5,0,2.572981
RX1_CLK,0,0
RX1_OD_CLK_DIV2,0,0.061305
RX1_OD_CLK,0,2.852169
STB_CLK,0,3.958722
VS_CLK,0,96.690704
WCLK1_A_DCLK,0,9.483404
WCLK1_A_I2C,0,246.406418
async,0,0
gating,0,0.128033
setup.rpt,0,0.061305
