report file,violation number,biggest violation
CLK_L0_DTCTL_OD_DIV1P5,0,0.277962
CLK_L1_ADJ_DTCTL_OD_DIV1P5,0,0
CLK_L1_DTCTL_OD_DIV1P5,0,0.151709
I2C_CLK,0,240.484512
LS_CLK,0,96.683632
OSC_CLK_IN,0,6.530822
POWERON_CLK,0,0
RX0_CLK_DIV1P5_1P,0,0
RX0_CLK_DIV1P5,0,1.358366
RX0_CLK,0,0.350628
RX0_OD_CLK_DIV2,0,0.806367
RX0_OD_CLK,0,0.220477
RX1_CLK_DIV1P5_ADJ,0,0
RX1_CLK_DIV1P5,0,2.534665
RX1_CLK,0,0
RX1_OD_CLK_DIV2,0,0.137353
RX1_OD_CLK,0,2.851882
STB_CLK,0,3.970209
VS_CLK,0,96.708687
WCLK1_A_DCLK,0,9.628297
WCLK1_A_I2C,0,246.378174
async,0,0
gating,0,0.140765
setup.rpt,0,0.137353
