report file,violation number,biggest violation
CLK_L0_DTCTL_OD_DIV1P5,0,0
CLK_L1_ADJ_DTCTL_OD_DIV1P5,0,0
CLK_L1_DTCTL_OD_DIV1P5,0,0
I2C_CLK,0,245.152176
LS_CLK,0,97.427628
OSC_CLK_IN,0,3.075946
POWERON_CLK,0,0
RX0_CLK_DIV1P5_1P,0,0
RX0_CLK_DIV1P5,0,3.984493
RX0_CLK,0,5.070286
RX0_OD_CLK_DIV2,0,0.914729
RX0_OD_CLK,0,1.169841
RX1_CLK_DIV1P5_ADJ,0,0
RX1_CLK_DIV1P5,0,3.924698
RX1_CLK,0,0
RX1_OD_CLK_DIV2,0,0
RX1_OD_CLK,0,2.876302
STB_CLK,0,4.579813
VS_CLK,0,97.511932
WCLK1_A_DCLK,0,12.352707
WCLK1_A_I2C,0,248.606201
async,0,0
gating,0,0
setup.rpt,0,0
