report_files,lt_cbest_m40,lt_cworst_m40,lt_typical_m40,ml_cbest_125,tt_cbest_25,tt_cworst_25,tt_typical_25,wc_cbest_125,wc_cworst_125,wc_typical_125
sd_l_1p_clk_a_max,2.246985,2.225894,2.326447,2.791957,3.300590,3.290234,2.246985,6.267566,6.301663,6.257146
sd_l_1p_clk_a_min,1.730218,1.710003,1.792779,2.097044,2.521774,2.509037,1.730218,4.779373,4.799534,4.770546
sd_l_1p_a_max,3.015472,3.019555,3.085168,3.73199,4.428516,4.456894,3.015472,8.437002,8.538174,8.449445
sd_l_1p_a_min,2.642948,2.637506,2.706859,3.281765,3.841745,3.853465,2.642948,7.302394,7.383826,7.301699
sd_l_2p_l0_clk_a_max,,,,,,,,,,
sd_l_2p_l0_clk_a_min,,,,,,,,,,
sd_l_2p_l0_a_max,,,,,,,,,,
sd_l_2p_l0_a_min,,,,,,,,,,
sd_l_2p_l1_clk_a_max,,,,,,,,,,
sd_l_2p_l1_clk_a_min,,,,,,,,,,
sd_l_2p_l1_a_max,,,,,,,,,,
sd_l_2p_l1_a_min,,,,,,,,,,
sd_r_1p_clk_a_max,2.856396,2.725065,2.904344,3.678965,4.189155,4.051059,2.856396,7.988032,7.842868,7.888186
sd_r_1p_clk_a_min,2.324152,2.216010,2.370348,2.981016,3.414134,3.297291,2.324152,6.540570,6.398360,6.455403
sd_r_1p_a_max,3.739199,3.75105,3.79948,4.598939,5.424028,5.479145,3.739199,10.221822,10.404069,10.263878
sd_r_1p_a_min,3.208746,3.201251,3.264728,3.967524,4.614274,4.644995,3.208746,8.665119,8.817308,8.697062
sd_r_2p_l0_clk_a_max,,,,,,,,,,
sd_r_2p_l0_clk_a_min,,,,,,,,,,
sd_r_2p_l0_a_max,,,,,,,,,,
sd_r_2p_l0_a_min,,,,,,,,,,
sd_r_2p_l1_clk_a_max,,,,,,,,,,
sd_r_2p_l1_clk_a_min,,,,,,,,,,
sd_r_2p_l1_a_max,,,,,,,,,,
sd_r_2p_l1_a_min,,,,,,,,,,

sd_l_1p_clk_b_max,2.263304,2.263049,2.358102,2.810351,3.330813,3.344672,2.263304,6.342001,6.407557,6.348271
sd_l_1p_clk_b_min,1.709379,1.715034,1.789302,2.070883,2.509552,2.521924,1.709379,4.772962,4.826252,4.780772
sd_l_1p_b_max,3.069163,3.091035,3.146837,3.750427,4.458,4.509901,3.069163,8.458097,8.612574,8.496181
sd_l_1p_b_min,2.819139,2.847769,2.898335,3.498703,4.113333,4.174626,2.819139,7.808309,7.969921,7.8468
sd_l_2p_l0_clk_b_max,,,,,,,,,,
sd_l_2p_l0_clk_b_min,,,,,,,,,,
sd_l_2p_l0_b_max,,,,,,,,,,
sd_l_2p_l0_b_min,,,,,,,,,,
sd_l_2p_l1_clk_b_max,,,,,,,,,,
sd_l_2p_l1_clk_b_min,,,,,,,,,,
sd_l_2p_l1_b_max,,,,,,,,,,
sd_l_2p_l1_b_min,,,,,,,,,,
sd_r_1p_clk_b_max,2.786492,2.793761,2.909970,3.532701,4.126670,4.150608,2.786492,7.948905,8.030273,7.960563
sd_r_1p_clk_b_min,2.232567,2.245745,2.341170,2.793232,3.311378,3.339892,2.232567,6.398731,6.472279,6.417229
sd_r_1p_b_max,3.468693,3.463795,3.519048,4.308535,5.029423,5.061719,3.468693,9.441406,9.600952,9.470312
sd_r_1p_b_min,3.268785,3.249901,3.309856,4.047735,4.707731,4.7353,3.268785,8.808849,8.995562,8.84907
sd_r_2p_l0_clk_b_max,,,,,,,,,,
sd_r_2p_l0_clk_b_min,,,,,,,,,,
sd_r_2p_l0_b_max,,,,,,,,,,
sd_r_2p_l0_b_min,,,,,,,,,,
sd_r_2p_l1_clk_b_max,,,,,,,,,,
sd_r_2p_l1_clk_b_min,,,,,,,,,,
sd_r_2p_l1_b_max,,,,,,,,,,
sd_r_2p_l1_b_min,,,,,,,,,,

