,,lt_cbest_m40,,lt_cworst_m40,,lt_typical_m40,,ml_cbest_125,,tt_cbest_25,,tt_cworst_25,,tt_typical_25,,wc_cbest_125,,wc_cworst_125,,wc_typical_125
report file,violation number,biggest violation,violation number,biggest violation,violation number,biggest violation,violation number,biggest violation,violation number,biggest violation,violation number,biggest violation,violation number,biggest violation,violation number,biggest violation,violation number,biggest violation,violation number,biggest violation
CLK_L0_DTCTL_OD_DIV1P5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CLK_L1_ADJ_DTCTL_OD_DIV1P5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CLK_L1_DTCTL_OD_DIV1P5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
I2C_CLK,0,245.164459,0,245.152176,0,245.142197,0,244.713440,0,244.305099,0,244.263153,0,245.164459,0,241.887634,0,241.757843,0,241.841110
LS_CLK,0,97.442795,0,97.427628,0,97.436737,0,97.305267,0,97.160316,0,97.138687,0,97.442795,0,96.330025,0,96.289764,0,96.312019
OSC_CLK_IN,0,3.089735,0,3.075946,0,3.040671,0,2.871559,0,2.645545,0,2.622093,0,3.089735,0,0.468649,0,0.650414,0,0.651166
POWERON_CLK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RX0_CLK_DIV1P5_1P,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RX0_CLK_DIV1P5,0,3.966727,0,3.984493,0,3.923790,0,3.727072,0,3.507923,0,3.519964,0,3.966727,0,2.143203,0,2.132149,0,2.138966
RX0_CLK,0,4.593826,0,5.070286,0,4.848719,0,3.634347,0,3.371464,0,3.936746,0,4.593826,0,0.024493,0,0.765402,0,0.588086
RX0_OD_CLK_DIV2,0,1.060144,0,0.914729,0,0.968763,0,1.368582,0,1.511293,0,1.341241,0,1.060144,0,0.764409,0,0.689252,0,0.721316
RX0_OD_CLK,0,1.173455,0,1.169841,0,1.170273,0,1.150369,0,1.020337,0,1.152004,0,1.173455,0,0.085787,0,0.261297,0,0.215253
RX1_CLK_DIV1P5_ADJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RX1_CLK_DIV1P5,0,4.024953,0,3.924698,0,3.911199,0,3.742468,0,3.487720,0,3.351360,0,4.024953,0,1.942247,0,1.723266,0,1.834704
RX1_CLK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RX1_OD_CLK_DIV2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RX1_OD_CLK,0,2.876120,0,2.876302,0,2.876209,0,2.857834,0,2.872334,0,2.872679,0,2.876120,0,2.870474,0,2.871286,0,2.870932
STB_CLK,0,4.587985,0,4.579813,0,4.581395,0,4.491709,0,4.389459,0,4.376954,0,4.587985,0,3.800912,0,3.773332,0,3.789081
VS_CLK,0,97.528397,0,97.511932,0,97.519516,0,97.435669,0,97.314453,0,97.293007,0,97.528397,0,96.647423,0,96.610870,0,96.631264
WCLK1_A_DCLK,0,12.442458,0,12.352707,0,12.398610,0,11.857561,0,11.335767,0,11.168303,0,12.442458,0,8.176322,0,7.780180,0,8.024208
WCLK1_A_I2C,0,248.654785,0,248.606201,0,248.611786,0,248.343155,0,248.097794,0,247.999847,0,248.654785,0,246.458588,0,246.326675,0,246.426224
async,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gating,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
setup.rpt,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.024493,0,0.261297,0,0.215253
