report file,violation number,biggest violation
CLK_L0_DTCTL_OD_DIV1P5,0,0
CLK_L1_ADJ_DTCTL_OD_DIV1P5,0,0
CLK_L1_DTCTL_OD_DIV1P5,0,0
I2C_CLK,0,244.263153
LS_CLK,0,97.138687
OSC_CLK_IN,0,6.995576
POWERON_CLK,0,0
RX0_CLK_DIV1P5_1P,0,0
RX0_CLK_DIV1P5,0,3.519964
RX0_CLK,0,3.936746
RX0_OD_CLK_DIV2,0,1.341241
RX0_OD_CLK,0,1.152004
RX1_CLK_DIV1P5_ADJ,0,0
RX1_CLK_DIV1P5,0,3.351361
RX1_CLK,0,0
RX1_OD_CLK_DIV2,0,0
RX1_OD_CLK,0,2.872679
STB_CLK,0,4.376954
VS_CLK,0,97.293007
WCLK1_A_DCLK,0,11.174080
WCLK1_A_I2C,0,247.999847
async,0,0
gating,0,0
setup.rpt,0,0
