report file,violation number,biggest violation
CLK_L0_DTCTL_OD_DIV1P5,0,0
CLK_L1_ADJ_DTCTL_OD_DIV1P5,0,0
CLK_L1_DTCTL_OD_DIV1P5,0,0
I2C_CLK,0,241.841110
LS_CLK,0,96.312019
OSC_CLK_IN,0,5.174348
POWERON_CLK,0,0
RX0_CLK_DIV1P5_1P,0,0
RX0_CLK_DIV1P5,0,2.138966
RX0_CLK,0,0.417743
RX0_OD_CLK_DIV2,0,0.721316
RX0_OD_CLK,0,0.215253
RX1_CLK_DIV1P5_ADJ,0,0
RX1_CLK_DIV1P5,0,1.834706
RX1_CLK,0,0
RX1_OD_CLK_DIV2,0,0
RX1_OD_CLK,0,2.870932
STB_CLK,0,3.789084
VS_CLK,0,96.631264
WCLK1_A_DCLK,0,8.033371
WCLK1_A_I2C,0,246.426224
async,0,0
gating,0,0
setup.rpt,0,0.215253
