report file,violation number,biggest violation
CLK_L0_DTCTL_OD_DIV1P5,0,0
CLK_L1_ADJ_DTCTL_OD_DIV1P5,0,0
CLK_L1_DTCTL_OD_DIV1P5,0,0.139960
I2C_CLK,0,0.084609
LS_CLK,0,0.074680
OSC_CLK_IN,0,0.004993
POWERON_CLK,0,0
RX0_CLK_DIV1P5_1P,0,0
RX0_CLK_DIV1P5,0,0.123365
RX0_CLK,0,0
RX0_OD_CLK_DIV2,0,0.119272
RX0_OD_CLK,0,0.081014
RX1_CLK_DIV1P5_ADJ,0,0
RX1_CLK_DIV1P5,0,0.139678
RX1_CLK,0,0
RX1_OD_CLK_DIV2,0,0.138125
RX1_OD_CLK,0,0
STB_CLK,0,0.020951
VS_CLK,0,0.020951
WCLK1_A_DCLK,0,0
WCLK1_A_I2C,0,0
async,0,0.133431
gating,0,0.128728
hold.rpt,0,0.004993
