report file,violation number,biggest violation
CLK_L0_DTCTL_OD_DIV1P5,0,1.693495
CLK_L1_ADJ_DTCTL_OD_DIV1P5,0,0
CLK_L1_DTCTL_OD_DIV1P5,0,1.684610
I2C_CLK,0,245.148346
LS_CLK,0,97.436737
OSC_CLK_IN,0,7.680908
POWERON_CLK,0,0
RX0_CLK_DIV1P5_1P,0,0
RX0_CLK_DIV1P5,0,4.238581
RX0_CLK,0,5.178364
RX0_OD_CLK_DIV2,0,0.968730
RX0_OD_CLK,0,1.327772
RX1_CLK_DIV1P5_ADJ,0,0
RX1_CLK_DIV1P5,0,4.226124
RX1_CLK,0,0
RX1_OD_CLK_DIV2,0,0.107451
RX1_OD_CLK,0,1.306209
STB_CLK,0,4.581395
VS_CLK,0,97.519516
WCLK1_A_DCLK,0,13.342607
WCLK1_A_I2C,0,248.611877
async,0,0
gating,0,0
setup.rpt,0,0.107451
