report file,violation number,biggest violation
CLK_L0_DTCTL_OD_DIV1P5,0,1.366846
CLK_L1_ADJ_DTCTL_OD_DIV1P5,0,0
CLK_L1_DTCTL_OD_DIV1P5,0,1.408954
I2C_CLK,0,244.719803
LS_CLK,0,97.305267
OSC_CLK_IN,0,2.871559
POWERON_CLK,0,0
RX0_CLK_DIV1P5_1P,0,0
RX0_CLK_DIV1P5,0,4.041843
RX0_CLK,0,4.075079
RX0_OD_CLK_DIV2,0,1.368423
RX0_OD_CLK,0,1.307822
RX1_CLK_DIV1P5_ADJ,0,0
RX1_CLK_DIV1P5,0,4.057353
RX1_CLK,0,0
RX1_OD_CLK_DIV2,0,0.182979
RX1_OD_CLK,0,1.287834
STB_CLK,0,4.491709
VS_CLK,0,97.435669
WCLK1_A_DCLK,0,12.789993
WCLK1_A_I2C,0,248.343323
async,0,0
gating,0,0
setup.rpt,0,0.182979
