,,lt_cbest_m40,,lt_cworst_m40,,lt_typical_m40,,ml_cbest_125,,tt_cbest_25,,tt_cworst_25,,tt_typical_25,,wc_cbest_125,,wc_cworst_125,,wc_typical_125
report file,violation number,biggest violation,violation number,biggest violation,violation number,biggest violation,violation number,biggest violation,violation number,biggest violation,violation number,biggest violation,violation number,biggest violation,violation number,biggest violation,violation number,biggest violation,violation number,biggest violation
CLK_L0_DTCTL_OD_DIV1P5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CLK_L1_ADJ_DTCTL_OD_DIV1P5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CLK_L1_DTCTL_OD_DIV1P5,0,0.140974,0,0.139960,0,0.144099,0,0.165946,0,0,0,0,0,0.140974,0,0,0,0,0,0
I2C_CLK,0,0.082771,0,0.084609,0,0.082690,0,0.129146,0,0.195399,0,0.198188,0,0.082771,0,0,0,0,0,0
LS_CLK,0,0.072867,0,0.074680,0,0.073601,0,0.118843,0,0.192251,0,0.195035,0,0.072867,0,0,0,0,0,0
OSC_CLK_IN,0,0.005736,0,0.004993,0,0.001223,0,0.030312,0,0.083931,0,0.086233,0,0.005736,0,0,0,0,0,0
POWERON_CLK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RX0_CLK_DIV1P5_1P,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RX0_CLK_DIV1P5,0,0.124658,0,0.123365,0,0.097236,0,0.139680,0,0.168086,0,0.191130,0,0.124658,0,0,0,0,0,0
RX0_CLK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RX0_OD_CLK_DIV2,0,0.117542,0,0.119272,0,0.116568,0,0.143153,0,0.186554,0,0.183593,0,0.117542,0,0,0,0,0,0
RX0_OD_CLK,0,0.077594,0,0.081014,0,0.078653,0,0.123961,0,0.188720,0,0.193939,0,0.077594,0,0,0,0,0,0
RX1_CLK_DIV1P5_ADJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RX1_CLK_DIV1P5,0,0.140730,0,0.139678,0,0.144099,0,0.165946,0,0,0,0,0,0.140730,0,0,0,0,0,0
RX1_CLK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RX1_OD_CLK_DIV2,0,0.136843,0,0.138125,0,0.136845,0,0.164136,0,0,0,0,0,0.136843,0,0,0,0,0,0
RX1_OD_CLK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
STB_CLK,0,0.017771,0,0.020951,0,0.018615,0,0.045583,0,0.106706,0,0.112402,0,0.017771,0,0,0,0,0,0
VS_CLK,0,0.017771,0,0.020951,0,0.018615,0,0.045583,0,0.106706,0,0.112402,0,0.017771,0,0,0,0,0,0
WCLK1_A_DCLK,0,0.042058,0,0.041145,0,0.039216,0,0.165648,0,0,0,0,0,0.042058,0,0,0,0,0,0
WCLK1_A_I2C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
async,0,0.059630,0,0.133431,0,0.085070,0,0.106182,0,0.182215,0,0.276471,0,0.059630,0,0,0,0,0,0
gating,0,0.138645,0,0.128728,0,0.124030,0,0.199577,0,0.274502,0,0.262924,0,0.138645,0,0,0,0,0,0
hold.rpt,0,0.005736,0,0.004993,0,0.001223,0,0.030312,0,0.083931,0,0.086233,0,0.005736,0,0.296921,0,0.312170,0,0.308190
