report_files,lt_cbest_m40,lt_cworst_m40,lt_typical_m40,ml_cbest_125,tt_cbest_25,tt_cworst_25,tt_typical_25,wc_cbest_125,wc_cworst_125,wc_typical_125
report_timing_io_max.rpt,245.164597,245.154434,245.144272,244.712555,244.303650,244.263824,245.164597,241.882523,241.754990,241.832489
report_timing_io_min.rpt,249.971863,249.957199,249.949051,250.232086,250.489059,250.485672,249.971863,251.957581,252.001083,251.950867
report_timing_rx0_00_max.rpt,1.059758,0.914543,0.968482,1.367851,1.505877,1.337331,1.059758,2.697208,2.488915,2.562136
report_timing_rx0_00_min.rpt,9.489414,9.644649,9.530311,9.129628,8.984651,9.167364,9.489414,7.659085,7.867192,7.793643
report_timing_rx1_00_max.rpt,0.122246,0.103715,0.107299,0.181193,0.200292,0.177960,0.122246,0.408093,0.382608,0.389111
report_timing_rx1_00_min.rpt,10.457839,10.470884,10.444136,10.381679,10.335694,10.347494,10.457839,9.992791,9.995730,10.002874
report_timing_sd_l_1p_clk_a.rpt,11.794315,11.801238,11.709034,11.286409,10.781542,10.768432,11.794315,7.952156,7.851892,7.926750
report_timing_sd_l_1p_clk_b.rpt,12.044378,12.040238,11.959315,11.579611,11.147181,11.122068,12.044378,8.571048,8.494906,8.558321
report_timing_sd_r_1p_clk_a.rpt,11.184901,11.302056,11.131155,10.399471,9.893006,10.007621,11.184901,6.231697,6.310682,6.295713
report_timing_sd_r_1p_clk_b.rpt,11.507272,11.494102,11.390380,10.833751,10.326315,10.294899,11.507272,6.915286,6.826097,6.899452
