,,wc_cworst_125,,wc_cbest_125,,wc_typical_125,,lt_cworst_m40,,lt_cbest_m40,,lt_typical_m40,,ml_cbest_125,,tt_cworst_25,,tt_cbest_25,,tt_typical_25
report file,violation number,biggest violation,violation number,biggest violation,violation number,biggest violation,violation number,biggest violation,violation number,biggest violation,violation number,biggest violation,violation number,biggest violation,violation number,biggest violation,violation number,biggest violation,violation number,biggest violation
CLK_L0_DTCTL_OD_DIV1P5,0,0.093393,0,0.148613,0,0.134530,0,1.790634,0,1.663789,0,1.693495,0,1.366843,0,1.328942,0,1.252643,0,1.663789
CLK_L1_ADJ_DTCTL_OD_DIV1P5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CLK_L1_DTCTL_OD_DIV1P5,0,0.358562,0,0.157763,0,0.275343,0,1.828999,0,1.680148,0,1.684610,0,1.408953,0,1.445076,0,1.279195,0,1.680148
I2C_CLK,0,241.771393,0,241.900482,0,241.854950,0,245.158234,0,245.170212,0,245.148346,0,244.719803,0,244.271118,0,244.312653,0,245.170212
LS_CLK,0,96.289764,0,96.330025,0,96.312019,0,97.427628,0,97.442795,0,97.436737,0,97.305267,0,97.138687,0,97.160316,0,97.442795
OSC_CLK_IN,0,5.104018,0,5.188813,0,5.174347,0,7.671621,0,7.459363,0,7.680908,0,6.950030,0,6.995575,0,6.916326,0,7.459363
POWERON_CLK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RX0_CLK_DIV1P5_1P,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RX0_CLK_DIV1P5,0,2.446704,0,2.460688,0,2.456081,0,4.299304,0,4.281528,0,4.238581,0,4.041843,0,3.832098,0,3.819267,0,4.281528
RX0_CLK,0,1.205338,0,0.218481,0,0.861245,0,5.511131,0,4.784613,0,5.178364,0,3.825079,0,4.374849,0,3.558776,0,4.784613
RX0_OD_CLK_DIV2,0,1.301242,0,1.413399,0,1.365732,0,0.914687,0,1.060063,0,0.968730,0,1.368423,0,1.337529,0,1.506086,0,1.060063
RX0_OD_CLK,0,0.135863,0,0.161100,0,0.161428,0,1.327341,0,1.330955,0,1.327772,0,1.307822,0,1.169952,0,1.173105,0,1.330955
RX1_CLK_DIV1P5_ADJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RX1_CLK_DIV1P5,0,2.013239,0,2.245769,0,2.129853,0,4.239635,0,4.339875,0,4.226124,0,4.057353,0,3.663561,0,3.799108,0,4.339875
RX1_CLK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RX1_OD_CLK_DIV2,0,0.382814,0,0.408247,0,0.389324,0,0.104150,0,0.122495,0,0.107451,0,0.182974,0,0.178114,0,0.200582,0,0.122495
RX1_OD_CLK,0,1.301286,0,1.300474,0,1.300932,0,1.306301,0,1.306120,0,1.306209,0,1.287834,0,1.302679,0,1.302334,0,1.306120
STB_CLK,0,3.773332,0,3.800912,0,3.789084,0,4.579813,0,4.587985,0,4.581395,0,4.491709,0,4.376954,0,4.389459,0,4.587985
VS_CLK,0,96.610870,0,96.647423,0,96.631264,0,97.511932,0,97.528397,0,97.519516,0,97.435669,0,97.293007,0,97.314453,0,97.528397
WCLK1_A_DCLK,0,8.717902,0,9.111215,0,8.959965,0,13.297246,0,13.386218,0,13.342607,0,12.794837,0,12.112274,0,12.278618,0,13.386218
WCLK1_A_I2C,0,246.326782,0,246.458511,0,246.426163,0,248.606293,0,248.654755,0,248.611877,0,248.343323,0,247.999908,0,248.097855,0,248.654755
async,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gating,0,0.206734,0,0.260895,0,0.247479,0,0,0,0,0,0,0,0,0,0,0,0,0,0
setup.rpt,0,0.093393,0,0.148613,0,0.134530,0,0.104150,0,0.122495,0,0.107451,0,0.182974,0,0.178114,0,0.200582,0,0.122495
