report file,violation number,biggest violation
CLK_L0_DTCTL_OD_DIV1P5,0,1.252645
CLK_L1_ADJ_DTCTL_OD_DIV1P5,0,0
CLK_L1_DTCTL_OD_DIV1P5,0,1.279195
I2C_CLK,0,244.312653
LS_CLK,0,97.160316
OSC_CLK_IN,0,2.645545
POWERON_CLK,0,0
RX0_CLK_DIV1P5_1P,0,0
RX0_CLK_DIV1P5,0,3.819267
RX0_CLK,0,3.808776
RX0_OD_CLK_DIV2,0,1.506086
RX0_OD_CLK,0,1.173105
RX1_CLK_DIV1P5_ADJ,0,0
RX1_CLK_DIV1P5,0,3.799107
RX1_CLK,0,0
RX1_OD_CLK_DIV2,0,0.200582
RX1_OD_CLK,0,1.302334
STB_CLK,0,4.389459
VS_CLK,0,97.314453
WCLK1_A_DCLK,0,12.273368
WCLK1_A_I2C,0,248.097855
async,0,0
gating,0,0
setup.rpt,0,0.200582
