report file,violation number,biggest violation
CLK_L0_DTCTL_OD_DIV1P5,0,0
CLK_L1_ADJ_DTCTL_OD_DIV1P5,0,0
CLK_L1_DTCTL_OD_DIV1P5,0,0.140974
I2C_CLK,0,0.082771
LS_CLK,0,0.072867
OSC_CLK_IN,0,0.005736
POWERON_CLK,0,0
RX0_CLK_DIV1P5_1P,0,0
RX0_CLK_DIV1P5,0,0.124658
RX0_CLK,0,0
RX0_OD_CLK_DIV2,0,0.117542
RX0_OD_CLK,0,0.077594
RX1_CLK_DIV1P5_ADJ,0,0
RX1_CLK_DIV1P5,0,0.140730
RX1_CLK,0,0
RX1_OD_CLK_DIV2,0,0.136843
RX1_OD_CLK,0,0
STB_CLK,0,0.017771
VS_CLK,0,0.017771
WCLK1_A_DCLK,0,0.042058
WCLK1_A_I2C,0,0
async,0,0.059630
gating,0,0.138645
hold.rpt,0,0.005736
