report file,violation number,biggest violation
CLK_L0_DTCTL_OD_DIV1P5,0,1.663789
CLK_L1_ADJ_DTCTL_OD_DIV1P5,0,0
CLK_L1_DTCTL_OD_DIV1P5,0,1.680148
I2C_CLK,0,245.170212
LS_CLK,0,97.442795
OSC_CLK_IN,0,7.459363
POWERON_CLK,0,0
RX0_CLK_DIV1P5_1P,0,0
RX0_CLK_DIV1P5,0,4.281528
RX0_CLK,0,4.784613
RX0_OD_CLK_DIV2,0,1.060063
RX0_OD_CLK,0,1.330955
RX1_CLK_DIV1P5_ADJ,0,0
RX1_CLK_DIV1P5,0,4.339875
RX1_CLK,0,0
RX1_OD_CLK_DIV2,0,0.122495
RX1_OD_CLK,0,1.306120
STB_CLK,0,4.587985
VS_CLK,0,97.528397
WCLK1_A_DCLK,0,13.386218
WCLK1_A_I2C,0,248.654755
async,0,0
gating,0,0
setup.rpt,0,0.122495
