report file,violation number,biggest violation
CLK_L0_DTCTL_OD_DIV1P5,0,0.148613
CLK_L1_ADJ_DTCTL_OD_DIV1P5,0,0
CLK_L1_DTCTL_OD_DIV1P5,0,0.157763
I2C_CLK,0,241.900482
LS_CLK,0,96.330025
OSC_CLK_IN,0,0.468933
POWERON_CLK,0,0
RX0_CLK_DIV1P5_1P,0,0
RX0_CLK_DIV1P5,0,2.460687
RX0_CLK,0,0.468480
RX0_OD_CLK_DIV2,0,1.413399
RX0_OD_CLK,0,0.161099
RX1_CLK_DIV1P5_ADJ,0,0
RX1_CLK_DIV1P5,0,2.245768
RX1_CLK,0,0
RX1_OD_CLK_DIV2,0,0.408247
RX1_OD_CLK,0,1.300474
STB_CLK,0,3.800912
VS_CLK,0,96.647423
WCLK1_A_DCLK,0,9.102544
WCLK1_A_I2C,0,246.458511
async,0,0
gating,0,0.260895
setup.rpt,0,0.148613
