report file,violation number,biggest violation
CLK_L0_DTCTL_OD_DIV1P5,0,0.093393
CLK_L1_ADJ_DTCTL_OD_DIV1P5,0,0
CLK_L1_DTCTL_OD_DIV1P5,0,0.358562
I2C_CLK,0,241.771393
LS_CLK,0,96.289764
OSC_CLK_IN,0,0.651071
POWERON_CLK,0,0
RX0_CLK_DIV1P5_1P,0,0
RX0_CLK_DIV1P5,0,2.446704
RX0_CLK,0,1.205338
RX0_OD_CLK_DIV2,0,1.318987
RX0_OD_CLK,0,0.135863
RX1_CLK_DIV1P5_ADJ,0,0
RX1_CLK_DIV1P5,0,2.013237
RX1_CLK,0,0
RX1_OD_CLK_DIV2,0,0.382814
RX1_OD_CLK,0,1.301286
STB_CLK,0,3.773332
VS_CLK,0,96.610870
WCLK1_A_DCLK,0,8.708344
WCLK1_A_I2C,0,246.326782
async,0,0
gating,0,0.206734
setup.rpt,0,0.093393
